,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,wavelength
Oc1ccc2c(c1)cccc2C,9.22113567649282,0.3269444444444447,9.22113567649282,0.3269444444444447,0.6246500939747887,158.2,148.11999999999998,158.07316494,60.0,0.0,0.11571685972873069,-0.5079435219633781,0.5079435219633781,0.11571685972873069,1.0833333333333333,1.9166666666666667,2.75,2.8630257936849905,418.2736683970917,8.55204176387779,6.911315210637714,6.911315210637714,5.770856947829096,3.955657605318857,3.955657605318857,2.980349517856289,2.980349517856289,2.081998203038754,2.081998203038754,1.433029955866933,1.433029955866933,-1.5,703.5166427731616,7.165406427221172,2.5211202938475665,1.0343428880475933,71.27224351782479,5.106527394840706,5.749511833283905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.26546827384644,35.39237125724043,0.0,0.0,5.106527394840706,10.772448428929591,0.0,0.0,0.0,6.923737199690624,0.0,41.96165390246666,0.0,5.749511833283905,0.0,0.0,5.749511833283905,0.0,5.106527394840706,0.0,6.923737199690624,5.563451491696996,36.39820241076966,0.0,10.772448428929591,0.0,20.23,0.0,5.106527394840706,0.0,0.0,5.749511833283905,5.386224214464796,10.949675706161791,12.13273413692322,18.19910120538483,12.990104268152233,0.0,0.0,0.0,0.0,11.517709750566894,1.2430555555555558,0.3269444444444447,11.510126606198035,0.0,2.068830309901738,0.0,0.09090909090909091,12.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.8538200000000007,50.34980000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0
O=NN(Cc1ccccc1O)C,10.014790721844292,0.1879629629629631,10.014790721844292,0.1879629629629631,0.5465471280543592,166.17999999999998,156.09999999999997,166.07422756,64.0,0.0,0.12012758122150295,-0.5076031155999031,0.5076031155999031,0.12012758122150295,1.5,2.1666666666666665,2.75,2.747726342806929,275.51529978753473,8.974691494688164,6.766396934908788,6.766396934908788,5.736382105218447,3.5505260048847305,3.5505260048847305,2.526124995020375,2.526124995020375,1.5301699474062491,1.5301699474062491,0.9199243247745291,0.9199243247745291,-1.5799999999999998,544.530641803533,8.515969289827256,3.7082589546487332,1.9496253118476012,70.38022277515502,5.106527394840706,5.749511833283905,0.0,0.0,0.0,0.0,5.008912523954532,0.0,0.0,4.907065243988282,18.19910120538483,6.06636706846161,12.611123474374185,11.830641126875284,5.106527394840706,0.0,0.0,5.008912523954532,5.2858847209627084,6.544756405912575,7.04767198267719,34.73598500953172,0.0,5.749511833283905,0.0,0.0,5.749511833283905,0.0,17.163111901472426,6.544756405912575,4.907065243988282,5.563451491696996,29.551352994809147,0.0,0.0,0.0,52.900000000000006,0.0,10.013592638828989,0.0,5.749511833283905,12.10820789760957,0.0,5.008912523954532,31.31314025652363,0.0,5.2858847209627084,0.0,0.0,0.0,10.014790721844292,13.198935185185185,0.6940740740740742,0.1879629629629631,6.85303335222978,0.0,0.32953703703703696,1.555,0.25,12.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,4.0,3.0,0.0,0.0,0.0,1.0,1.5053999999999998,45.36880000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411.0
CC(=O)C(=O)CN(C)C,10.562037037037037,-0.3715740740740736,10.562037037037037,0.21759259259259256,0.49110869094861975,129.159,118.07099999999998,129.078978592,52.0,0.0,0.2114730704744747,-0.3018886542843916,0.3018886542843916,0.2114730704744747,1.3333333333333333,1.7777777777777777,1.8888888888888888,3.647424691536499,129.01955000865388,7.439157588755425,5.970816957614232,5.970816957614232,4.036581260209188,2.7224566380738904,2.7224566380738904,2.217145563599959,2.217145563599959,0.8525086481858103,0.8525086481858103,0.39854513060460417,0.39854513060460417,-0.7000000000000001,60.47184355343589,8.300000000000002,3.3499479708636843,3.847945205479454,54.64683947010348,4.899909730850478,0.0,5.783244946364939,5.783244946364939,0.0,0.0,9.589074368143644,0.0,0.0,0.0,0.0,14.09534396535438,6.923737199690624,6.544756405912575,9.589074368143644,11.566489892729878,0.0,4.899909730850478,0.0,6.923737199690624,20.640100371266954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.10649999484731,9.589074368143644,0.0,6.923737199690624,0.0,0.0,0.0,0.0,37.38,0.0,9.589074368143644,0.0,18.111246298642453,0.0,0.0,6.923737199690624,18.99525369620486,0.0,0.0,0.0,0.0,0.0,22.535416666666666,0.0,0.0,-0.7049074074074064,0.0,0.0,1.5011574074074074,3.5016666666666665,0.6666666666666666,9.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,-0.29390000000000005,34.24199999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470.0
COc1ccc(NC2=C(Cl)C(=O)c3ccccc3C2=O)cc1,12.51844891660368,-0.35381634752666424,12.51844891660368,0.09308657722348213,0.9396865299633241,313.74000000000007,301.64400000000006,313.05057092399994,110.0,0.0,0.2111140392627373,-0.4967658884726994,0.4967658884726994,0.2111140392627373,0.9090909090909091,1.5,2.090909090909091,1.9739069717473696,793.806278871352,15.689869965382487,11.721511497917824,12.47744044393628,10.613392202930193,6.608320436899816,6.986284909909043,4.746315849173448,5.124280322182675,3.4215779326830837,3.7822029624210503,2.2755580010121363,2.5104249884401186,-2.5899999999999994,126916.62819658604,14.351582034961204,5.656078885403138,2.3771379579475824,131.90749155191472,10.05365155780638,16.478837498453334,0.0,11.566489892729878,0.0,0.0,9.589074368143644,0.0,0.0,0.0,35.866408164078955,24.26546827384644,16.814289258077554,7.109797541277533,14.325937321943691,28.854816057645955,0.0,0.0,0.0,0.0,12.426586145283864,70.3871651962563,0.0,5.749511833283905,10.05365155780638,5.687386274683562,5.749511833283905,11.600939890232516,18.67628743400741,0.0,0.0,20.715977351537635,59.26026221286231,0.0,0.0,0.0,55.4,0.0,9.589074368143644,0.0,22.295815557899306,22.56380109136146,0.0,0.0,55.64073408897041,0.0,5.316788604006331,16.337802844032566,5.078040830410659,6.086240726743371,24.779557595816613,2.827091548038969,1.4265807589743384,0.04714410931447466,13.628269812031535,0.0,0.0,1.5715190631144815,0.058823529411764705,22.0,1.0,4.0,1.0,0.0,1.0,2.0,0.0,2.0,4.0,1.0,5.0,3.0,0.0,0.0,0.0,3.0,3.636700000000002,84.59870000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,489.0
CC(=O)Nc1ccc(NC2=C(Cl)C(=O)c3ccccc3C2=O)cc1,12.575450242998944,-0.38496929110385003,12.575450242998944,0.048744226085496,0.895000013189176,340.7660000000001,327.6620000000001,340.061469956,120.0,0.0,0.22074742196243696,-0.3509710576059352,0.3509710576059352,0.22074742196243696,0.875,1.4166666666666667,2.0,1.895214472892854,885.3918157372028,17.26722023457211,12.721511497917824,13.47744044393628,11.46923425058676,7.200072146435952,7.578036619445179,5.27635079598871,5.654315268997938,3.53682817907167,3.897453208809636,2.441363654843158,2.676230642271138,-2.919999999999999,276439.260553687,15.956087694373275,6.2939208490378915,2.9373133680555563,142.8702727204562,10.633577208012662,10.72932566516943,0.0,17.473669622081385,0.0,0.0,14.383611552215466,0.0,0.0,0.0,35.866408164078955,24.26546827384644,29.425412732451736,0.0,14.383611552215466,40.44938206168102,0.0,0.0,0.0,6.923737199690624,10.633577208012662,70.3871651962563,0.0,0.0,10.633577208012662,11.374772549367124,0.0,11.600939890232516,17.473669622081385,4.794537184071822,0.0,27.639714551228256,59.26026221286231,0.0,0.0,0.0,75.27000000000001,0.0,14.383611552215466,0.0,28.20299528725081,22.501675532761116,0.0,6.923737199690624,48.53093654769288,0.0,10.633577208012662,11.600939890232516,0.0,6.095491823570225,35.90417273658224,5.409661076496544,1.8872859135746953,-0.8921346030022408,13.289473773090641,0.0,1.4171603907990091,0.0,0.05555555555555555,24.0,2.0,5.0,1.0,0.0,1.0,2.0,0.0,2.0,4.0,2.0,6.0,3.0,0.0,0.0,0.0,3.0,3.586500000000001,92.35040000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,491.0
O=C1OC(/C=C/c2ccccc2)=N/C1=C/c1ccc(Cl)cc1,11.802278736597518,-0.4558688166624669,11.802278736597518,0.273179747207525,0.6242949151902136,309.752,297.656,309.05565630399997,108.0,0.0,0.36332270786666454,-0.4027062473135872,0.4027062473135872,0.36332270786666454,0.9090909090909091,1.6363636363636365,2.3636363636363638,1.7927140391690177,774.494272150973,15.363596551749426,11.569877879712424,12.32580682573088,10.703509938206668,6.7186529469818295,7.096617419991057,4.6647067558140884,5.101142536286074,3.0283728901646403,3.280349205504125,1.9454681242572314,2.071456281926974,-2.649999999999999,160194.54807163347,14.294117501878475,6.412373573943101,3.5101539366808643,132.76676883633533,4.736862953800049,0.0,5.697039313055833,5.897745344357611,0.0,5.969305287951849,0.0,9.786941916707491,0.0,0.0,54.06550936946379,35.411677333984976,11.098653420575207,0.0,9.53140013787187,35.620030736209735,0.0,0.0,4.992404732635669,0.0,0.0,82.51989933317954,0.0,0.0,0.0,0.0,0.0,11.600939890232516,11.86705063230946,9.53140013787187,0.0,11.126902983393991,71.36276776867989,5.022633313741326,12.152040213667762,0.0,38.66,5.969305287951849,4.794537184071822,0.0,11.594784657413445,5.022633313741326,11.126902983393991,0.0,24.284774350590983,48.54058958606515,4.992404732635669,16.337802844032566,5.121524768343551,5.830608305332469,15.99032909563002,0.6445677877130109,2.124817510465058,-0.16969604714313635,16.879180048681693,5.189779642088444,0.0,0.0,0.0,22.0,0.0,3.0,0.0,1.0,1.0,2.0,0.0,2.0,3.0,0.0,4.0,3.0,0.0,0.0,0.0,3.0,4.349600000000003,88.43200000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384.0
COc1nc(Nc2ccc(-c3nc4ccccc4o3)cc2)nc(OC)n1,5.775254129238166,0.1689312661290685,5.775254129238166,0.1689312661290685,0.5852948841457953,349.3500000000001,334.2300000000001,349.11748934,130.0,0.0,0.32365371053115477,-0.46658439888075726,0.46658439888075726,0.32365371053115477,0.8076923076923077,1.5,2.1538461538461537,1.5783532450157813,991.0774877395346,17.932510652501772,14.13240140690843,14.13240140690843,12.745846038317024,7.8205650180908295,7.8205650180908295,5.321506655548175,5.321506655548175,3.641402544857184,3.641402544857184,2.397408132622646,2.397408132622646,-3.6799999999999997,1624294.241237568,15.82490779632084,6.67333501523414,3.1181127272512006,148.40701412263815,19.207665448659775,5.516700717616262,5.583020141642242,11.839063203012403,0.0,12.020929679173673,0.0,4.9839785209472085,9.967957041894417,4.9839785209472085,12.13273413692322,36.39820241076966,11.250837766380558,14.219595082555067,13.890876844653445,22.73544641492856,0.0,19.935914083788834,0.0,0.0,19.536383686561397,48.53093654769288,0.0,23.475105092896577,14.790514511606428,11.635725555670057,12.020929679173673,0.0,34.1555091663439,0.0,0.0,0.0,52.94808748474623,0.0,22.55389627298141,0.0,95.19,0.0,0.0,0.0,12.020929679173673,11.839063203012403,22.35055862563906,14.219595082555067,0.0,48.53093654769288,25.252702687795164,13.890876844653445,15.851100264829695,0.0,16.724340294725604,3.085367693373646,3.2508142098427513,0.8931126606978885,15.56890839427733,0.0,0.0,2.959689815586419,0.1111111111111111,26.0,1.0,8.0,0.0,0.0,0.0,2.0,2.0,4.0,8.0,1.0,8.0,5.0,0.0,0.0,0.0,4.0,3.4406000000000017,95.65870000000002,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.0
C=C1N(C2CCCCC2)C(=O)OC12CCCCC2,12.200253684807254,-0.3404955593348449,12.200253684807254,0.1307407407407406,0.7029488001600204,249.35399999999993,226.16999999999993,249.172878976,100.0,0.0,0.4148524178687657,-0.43610111057725637,0.43610111057725637,0.4148524178687657,1.0555555555555556,1.6666666666666667,2.3333333333333335,1.7885810152213877,351.5051022779815,12.58757566981053,11.119235038669334,11.119235038669334,8.728780716145474,7.444941673650462,7.444941673650462,6.031450574404795,6.031450574404795,4.897171603162678,4.897171603162678,3.8271505049328978,3.8271505049328978,-0.99,21160.28683096771,12.064872694982375,4.597550399261957,1.8404323569195187,109.17624513636417,4.736862953800049,0.0,5.601050810983688,0.0,0.0,6.093240070938415,4.899909730850478,4.794537184071822,0.0,0.0,32.26222217530254,38.524929737556064,6.041840829147961,5.697039313055833,9.53140013787187,6.093240070938415,0.0,4.899909730850478,0.0,75.85110786939175,0.0,12.27597499665433,0.0,0.0,0.0,4.794537184071822,0.0,0.0,22.63604144192054,4.736862953800049,0.0,64.20821622926012,12.27597499665433,0.0,0.0,0.0,29.540000000000003,0.0,4.794537184071822,0.0,11.694290881922104,6.041840829147961,44.22196905061189,25.683286491704038,0.0,4.899909730850478,6.578935683598497,4.736862953800049,5.755353363567649,0.0,14.093587018140587,0.0,0.6170044406651553,0.0,0.3472699357520783,11.385200774754347,4.218251133786848,0.0,0.8,18.0,0.0,3.0,2.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,2.0,1.0,3.0,3.0,3.9879000000000033,70.14900000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.0
CC1OC(C)OC(C)O1,5.1120833333333335,-0.13541666666666696,5.1120833333333335,0.13541666666666674,0.4934280399431338,132.159,120.06299999999997,132.078644244,54.0,0.0,0.16059083235493757,-0.32426093351267604,0.32426093351267604,0.16059083235493757,0.6666666666666666,0.8888888888888888,1.1111111111111112,2.3408516164378748,69.28421251514428,6.8533711511285205,5.956795678960467,5.956795678960467,4.1815405503520555,3.1462643699419726,3.1462643699419726,2.111136987431772,2.111136987431772,1.14982991426106,1.14982991426106,0.9058480504061115,0.9058480504061115,-0.12,85.7569381887915,6.992612612612613,2.642835991792221,1.93040302009999,54.89876613480399,14.210588861400147,0.0,18.870080188005637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.771211599071872,0.0,0.0,14.210588861400147,0.0,0.0,0.0,0.0,39.641291787077506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.870080188005637,14.210588861400147,0.0,20.771211599071872,0.0,0.0,0.0,0.0,27.69,0.0,0.0,0.0,18.870080188005637,0.0,0.0,0.0,0.0,20.771211599071872,0.0,14.210588861400147,15.33625,0.0,0.0,0.0,0.0,0.0,0.0,-0.40625000000000067,5.57,0.0,1.0,9.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0877999999999999,31.640999999999984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0
CN(C)c1ccc(NC2=C(Cl)C(=O)c3ccccc3C2=O)cc1,12.586967435122197,-0.3386311623414795,12.586967435122197,0.07834619341563775,0.934137058631628,326.7830000000001,311.66300000000007,326.0822054,116.0,0.0,0.21111403921818594,-0.3776594307286488,0.3776594307286488,0.21111403921818594,0.8695652173913043,1.434782608695652,2.0,1.9482946492817947,823.1701593507383,16.560113453385565,12.760476802953919,13.516405748972375,10.986071002992368,7.113981989953915,7.491946462963142,5.459115524293077,5.837079997302305,3.715261886793922,4.075886916531888,2.4441118520301703,2.678978839458151,-2.5899999999999994,179238.41724406325,15.311239944158608,5.893593272736996,2.7314920496566186,138.9187221070078,10.216698334856808,10.72932566516943,0.0,11.566489892729878,0.0,0.0,9.589074368143644,0.0,0.0,0.0,35.866408164078955,24.26546827384644,36.59701949811549,0.0,9.589074368143644,34.542202332329516,0.0,0.0,0.0,0.0,24.31204230021119,70.3871651962563,0.0,0.0,10.216698334856808,11.374772549367124,0.0,11.600939890232516,25.661833858084258,0.0,0.0,20.715977351537635,59.26026221286231,0.0,0.0,0.0,49.410000000000004,0.0,9.589074368143644,0.0,22.295815557899306,16.814289258077554,5.687386274683562,0.0,24.26546827384644,43.2607219700513,5.316788604006331,11.600939890232516,0.0,6.125870356373001,26.878167884726928,2.8982845700008397,2.564432847595728,-0.6146625409423025,14.199313200461287,0.0,0.0,3.893038126228963,0.1111111111111111,23.0,1.0,4.0,1.0,0.0,1.0,2.0,0.0,2.0,4.0,1.0,5.0,3.0,0.0,0.0,0.0,3.0,3.6941000000000015,92.37370000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,552.0
